image,pred_count,suspect_count,status,signal,confidence,gt_count,is_correct,is_multi_gt,is_multi_pred,read_ms,preprocess_ms,infer_ms,post_ms,signal_ms,total_ms,vis_path,error_type,reasons
B213858870834_Hikrobot MV-PD010003-12C-8C (DA8401808)_4857563.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,76.148,0.0,144.807,0.384,0.001,221.345,,unknown,no valid parcel candidate found
B213997753688_Hikrobot MV-PD010003-12C-8C (DA8401808)_4930659.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,90.594,0.0,158.186,0.45,0.001,249.239,,unknown,no valid parcel candidate found
B213999633906_Hikrobot MV-PD010003-12C-8C (DA8401808)_4226322.jpg,0,1,UNKNOWN,REVIEW,0.383451,1,0,0,0,87.777,0.0,170.366,0.513,0.002,258.666,,unknown,only low-confidence candidates found
B214012975216_Hikrobot MV-PD010003-12C-8C (DA8401808)_5715559.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,71.004,0.0,141.946,0.429,0.001,213.386,,unknown,no valid parcel candidate found
B214013752797_Hikrobot MV-PD010003-12C-8C (DA8401808)_3326149.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,73.42,0.0,137.762,0.305,0.001,211.494,,unknown,no valid parcel candidate found
B214027423964_Hikrobot MV-PD010003-12C-8C (DA8401808)_4108080.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,76.949,0.0,147.997,0.461,0.001,225.416,,unknown,no valid parcel candidate found
B214039911160_Hikrobot MV-PD010003-12C-8C (DA8401808)_1742666.jpg,0,0,UNKNOWN,REVIEW,0.0,2,0,1,0,93.176,0.0,211.199,0.322,0.002,304.707,,unknown,no valid parcel candidate found
B214041619931_Hikrobot MV-PD010003-12C-8C (DA8401808)_5218415.jpg,0,1,UNKNOWN,REVIEW,0.270402,1,0,0,0,84.687,0.0,204.617,0.403,0.002,289.717,,unknown,only low-confidence candidates found
B214054339882_Hikrobot MV-PD010003-12C-8C (DA8401808)_2400566.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,90.619,0.0,174.631,0.36,0.001,265.62,,unknown,no valid parcel candidate found
B214123489464_Hikrobot MV-PD010003-12C-8C (DA8401808)_4521235.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,85.966,0.0,156.047,0.352,0.001,242.374,,unknown,no valid parcel candidate found
B214123958851_Hikrobot MV-PD010003-12C-8C (DA8401808)_4751830.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,76.616,0.0,154.656,0.395,0.001,231.674,,unknown,no valid parcel candidate found
B214137484774_Hikrobot MV-PD010003-12C-8C (DA8401808)_4907633.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,85.816,0.0,152.246,0.348,0.001,238.415,,unknown,no valid parcel candidate found
B214138067568_Hikrobot MV-PD010003-12C-8C (DA8401808)_5159238.jpg,0,1,UNKNOWN,REVIEW,0.414441,1,0,0,0,94.133,0.0,168.848,0.336,0.001,263.324,,unknown,only low-confidence candidates found
B214179288851_Hikrobot MV-PD010003-12C-8C (DA8401808)_3425128.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,76.026,0.0,146.804,0.359,0.001,223.195,,unknown,no valid parcel candidate found
B214195348804_Hikrobot MV-PD010003-12C-8C (DA8401808)_2650365.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,86.969,0.0,157.185,0.488,0.001,244.653,,unknown,no valid parcel candidate found
B214208449503_Hikrobot MV-PD010003-12C-8C (DA8401808)_3123469.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,83.899,0.0,154.484,0.321,0.001,238.712,,unknown,no valid parcel candidate found
B214208930801_Hikrobot MV-PD010003-12C-8C (DA8401808)_1806761.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,82.995,0.0,170.952,0.42,0.001,254.376,,unknown,no valid parcel candidate found
B215272243123_Hikrobot MV-PD010003-12C-8C (DA8401808)_2856604.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,105.644,0.0,168.098,0.411,0.001,274.161,,unknown,no valid parcel candidate found
B215272249939_Hikrobot MV-PD010003-12C-8C (DA8401808)_2228772.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,88.898,0.0,189.745,0.436,0.001,279.089,,unknown,no valid parcel candidate found
B215273754707_Hikrobot MV-PD010003-12C-8C (DA8401808)_2649013.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,80.682,0.0,171.336,0.306,0.002,252.333,,unknown,no valid parcel candidate found
B215285344124_Hikrobot MV-PD010003-12C-8C (DA8401808)_2205951.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,85.119,0.0,144.958,0.318,0.001,230.403,,unknown,no valid parcel candidate found
B504884603626_Hikrobot MV-PD010003-12C-8C (DA8401808)_3520484.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,100.207,0.0,147.861,0.386,0.001,248.462,,unknown,no valid parcel candidate found
B504885073135_Hikrobot MV-PD010003-12C-8C (DA8401808)_2549424.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,82.979,0.0,136.335,0.447,0.001,219.77,,unknown,no valid parcel candidate found
B504885224226_Hikrobot MV-PD010003-12C-8C (DA8401808)_4524448.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,90.566,0.0,151.651,0.427,0.001,242.653,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021541204_64_1541701_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,92.712,0.0,152.203,0.384,0.002,245.31,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021605596_69_1605997_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,82.173,0.0,140.296,0.379,0.001,222.856,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021609777_71_1610035_Panorama.jpg,1,0,SINGLE,PASS,0.628037,1,1,0,0,87.182,0.0,157.272,0.48,0.001,244.945,,,exactly one high-confidence parcel
Hikrobot MV-PD010003-12C-8C (DA8401808)_021612867_73_1613258_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,72.72,0.0,147.819,0.404,0.001,220.95,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021614567_74_1615128_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.388033,1,0,0,0,85.328,0.0,160.932,0.459,0.002,246.728,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021619907_76_1620403_Panorama.jpg,1,0,SINGLE,PASS,0.61537,1,1,0,0,93.744,0.0,162.343,0.393,0.002,256.49,,,exactly one high-confidence parcel
Hikrobot MV-PD010003-12C-8C (DA8401808)_021635787_80_1636183_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,87.01,0.0,143.206,0.459,0.001,230.682,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021638147_82_1638782_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,87.887,0.0,147.376,0.382,0.001,235.653,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021644320_85_1644760_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,70.608,0.0,150.623,0.455,0.001,221.695,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021646508_86_1646968_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.506906,1,0,0,0,99.695,0.0,164.076,0.445,0.001,264.226,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021647618_87_1648228_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,76.694,0.0,134.541,0.328,0.001,211.57,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021650767_89_1651350_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,78.495,0.0,137.396,0.489,0.001,216.391,,unknown,no valid parcel candidate found
